datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2018-05-17,1.8779504461,1.7507348389,1.1309281403,1.2943349199,0.9555001369,1.5278461178
2018-05-18,1.7411500053,1.7644934337,0.9238325153,1.4013357095,0.9228181168,1.4739894962
2018-05-19,1.8269584741,1.8429366716,0.5067505094,1.322307101,0.7158677514,1.5118018143
2018-05-20,1.8376051495,1.5640944891,0.5629913564,1.0313100542,0.8144384965,1.5263084147
2018-05-21,1.9095916185,1.6497322841,0.9930946639,1.2523406635,0.7039397238,1.5105267469
2018-05-22,1.8460477764,1.8297820479,1.6409822159,1.2826638512,0.8680055638,1.4772914023
2018-05-23,1.6461517746,1.7292440863,1.7622707117,1.4695628819,1.4250579125,1.3873023921
2018-05-24,1.4140542491,1.7867076242,1.4903845591,1.3153380456,1.2762625539,1.2821356465
2018-05-25,1.4798021398,1.62815525,0.8489300388,1.2561850391,0.780947964,1.3488840011
2018-05-26,1.4248503516,1.5192678854,0.4205352832,0.9734704928,0.4775607333,1.3207302111
2018-05-27,1.428922238,1.6748734116,1.2198893161,1.0662512907,0.5463693867,1.3699050879
2018-05-28,1.3710939796,1.9717949053,1.5465408824,1.5478058224,0.9600734423,1.2965013244
2018-05-29,1.1585713943,1.7260383935,1.2461241704,1.2240866015,0.9410816973,1.1182592413
2018-05-30,1.3478954341,1.7486109844,1.0652275786,1.3202139854,0.7394764245,1.2345910634
2018-05-31,1.3167772563,1.7870195653,1.1520885495,1.340791291,0.6892807997,1.2188002231
2018-06-01,1.3921258333,1.4911268135,1.6604513456,1.2347740858,0.6607713709,1.2768024028
2018-06-02,1.3987006224,1.6779729117,0.3938281982,1.0817247528,0.6130735217,1.2722919613
2018-06-03,1.4391579892,1.7711835753,0.2753930839,1.01356955,0.5782359036,1.2875274267
2018-06-04,1.5444293278,1.6431947945,1.0605513645,1.2702131119,0.6298515051,1.3790029433
2018-06-05,1.4471896917,1.5463536672,1.0782883412,1.1947529957,0.5867704909,1.342296059
2018-06-06,1.5101358257,1.5077393378,1.307287132,1.064182165,0.5228773205,1.3727260716
2018-06-07,1.5005351394,1.6846298681,1.1359348042,1.1449080563,0.6128914806,1.3528471442
2018-06-08,1.4921298693,1.4376455028,1.2839389223,0.9845178251,0.4364021964,1.3312450366
2018-06-09,1.4752072588,1.6034654416,0.3284799984,0.9091776581,0.3501310179,1.3295640234
2018-06-10,1.4506638701,1.6423917121,0.9036718806,1.0631386059,0.8712170563,1.3469084931
2018-06-11,1.1911091288,1.6155979603,0.9281491004,1.2259038337,0.6871543768,1.2782888936
2018-06-12,1.2204341823,1.3036966554,1.58721032,1.0115424065,0.651209971,1.276484886
2018-06-13,1.0908435955,1.4410702182,2.0525958276,1.2039231211,0.7585264264,1.2215681349
2018-06-14,1.0174749266,1.4656272857,2.0632259279,1.2743753533,1.0341689315,1.2191753404
2018-06-15,1.1747468697,1.5723244253,1.9543506516,1.1651974836,0.560554892,1.3047102299
2018-06-16,1.0624151041,1.0469691077,0.3713297429,0.6838228759,0.2007021041,1.2374192191
2018-06-17,1.0962229684,1.1630775775,0.1499311261,0.8322061804,0.164845037,1.2486673956
2018-06-18,1.0959241143,1.2519409765,0.461772737,0.964282375,0.3461695497,1.2621242908
2018-06-19,1.1692927833,1.4812907125,0.6703375454,1.0773945824,0.5010600699,1.2711252473
2018-06-20,1.2421011009,1.5563623314,0.8807085321,1.1021341293,0.4061887769,1.3564022984
2018-06-21,1.2344056091,1.512020232,0.6949854772,1.1144829117,0.3084482623,1.342613968
2018-06-22,1.199813253,1.5480328396,1.105113649,1.2670524474,0.8647724465,1.3132989967
2018-06-23,0.9722358949,1.2526245921,0.1624729458,0.9363521762,0.4463058671,1.2572234987
2018-06-24,1.0039891376,1.3293886576,0.6558351725,1.0362459687,1.0574206064,1.2724898171
2018-06-25,0.9336463659,2.2451615255,0.9178838074,1.3262834209,2.1623863363,1.1675001901
2018-06-26,0.9515402521,1.4921887408,0.6621183463,1.1398941748,0.2316146994,1.1609031472
2018-06-27,0.845110854,1.5559043753,0.5388054947,1.0548561054,0.2406299759,1.0730153954
2018-06-28,0.8826543939,1.6355953777,0.4317462677,1.1848691718,0.234695044,1.1010221275
2018-06-29,0.8090615844,1.5020115678,0.6214331913,1.1458136737,0.3830388884,1.0932815878
2018-06-30,0.8599414862,0.7195039317,0.0832471701,0.5597592957,0.318548515,1.0448153595
2018-07-01,0.931031393,0.3541080419,-0.0285215627,0.3412596171,0.3446112479,1.0717134802
2018-07-02,0.9257267336,0.6103643594,0.3039527162,0.6024012785,0.4276709339,1.0759090269
2018-07-03,1.0063052565,0.5845263422,0.5349237804,0.6346136679,0.4700164199,1.1071982765
2018-07-04,0.9643162627,0.5694469754,0.3146838126,0.5386302232,0.3723123508,1.0667594339
2018-07-05,0.9760462841,0.7129730791,0.389751767,0.6894065167,0.5753667753,1.0651393711
2018-07-06,1.0024575106,0.4996849927,0.3799417856,0.5036649969,0.4289963013,1.0867998701
2018-07-07,1.0013368079,0.4820238152,0.0531895615,0.4597995311,0.232925526,1.0745673774
2018-07-08,1.0686163256,0.8461188441,0.1930417962,0.7245456695,0.2228761665,1.0967913958
2018-07-09,1.0566995204,0.9564729956,0.53799568,0.8243614949,0.3606827849,1.1103110885
2018-07-10,1.0091817267,0.9676829651,0.5790650534,0.7954836965,0.5465732392,1.0601528659
2018-07-11,0.8536281944,0.8307939066,0.1945923088,0.631614935,0.2796111034,0.9927933732
2018-07-12,0.8983815882,0.7216410602,0.1612394294,0.5298259433,0.3327486544,1.0316464535
2018-07-13,0.8395073406,0.6111408937,0.072706097,0.4923177914,0.3285468881,1.0077291232
2018-07-14,0.8535908376,0.5639116796,-0.0922256451,0.535511541,0.1436905168,1.0232614455
2018-07-15,0.8587087132,0.5578387832,-0.1631428213,0.4312755832,0.2269541485,1.0212262228
2018-07-16,0.9130254366,1.24014031,0.5040670962,0.9114566951,0.5972640941,1.0667888155
2018-07-17,1.0238255751,1.2990374496,0.5265230193,0.8734507536,0.9099725199,1.0794041953
2018-07-18,1.1013782007,1.656760915,0.7576626588,0.9904613138,0.9707489002,0.9870661089
2018-07-19,1.0258801967,1.4410834923,0.4672816402,0.8939320997,0.7502320439,0.8762118598
2018-07-20,0.9835923488,1.2503149004,0.5539342892,0.8818592008,0.5700799395,0.7996743004
2018-07-21,0.9139967122,0.9281195383,0.0720748173,0.654231379,0.3392078983,0.7478435771
2018-07-22,0.9579282574,1.2073931287,0.0186816726,0.6546811889,0.2185287113,0.7827954006
2018-07-23,0.9467212305,1.6196332839,0.3923331289,0.7395813166,0.4067057252,0.7701633328
2018-07-24,0.915715123,1.7721857692,0.4368377823,1.0346086605,0.9095500876,0.6534228953
2018-07-25,1.0231905102,1.7823603595,0.3778302553,0.9736864016,0.6497680898,0.6136059133
2018-07-26,0.9948740891,1.5064650251,0.1429568489,0.9674070548,0.4245906826,0.6300700028
2018-07-27,0.9637932681,1.7348789378,0.2121709103,0.8846240326,0.5066600015,0.6500481001
2018-07-28,0.9849745488,1.4619437255,-0.1022533137,0.8295792903,0.3592919833,0.6210848853
